file_keys,Heavy-Metal-OH3-FBar3
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.35
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.7
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.77
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.66
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.55
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.45
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.75
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.74
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.64
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.66
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.48
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.61
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.39
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.28
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.73
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.77
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.86
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.74
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.42
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.78
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.76
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.7
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.55
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.78
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.77
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.83
