file_keys,Country-Swing-Fill-13
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.5
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.13
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.3
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.01
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.01
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.02
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.05
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.06
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.07
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.5
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.08
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0
