file_keys,Funk-Ride-a
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.15
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.42
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.22
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.07
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.11
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.26
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.11
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.61
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.43
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.23
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.06
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.67
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.19
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.55
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.5
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.22
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.16
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.11
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.22
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.42
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.24
