file_keys,Pop-Ride1-b-Crash
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.2
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.44
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.15
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.63
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.05
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.25
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.24
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.23
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.24
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.04
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.16
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.31
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.51
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.65
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.17
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.09
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.01
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.23
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.37
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.62
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.26
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.1
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.5
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.31
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.25
