file_keys,Pop-CH1-c
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.14
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.63
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.4
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.82
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.28
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.5
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.74
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.43
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.29
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.61
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.39
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.58
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.33
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.54
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.64
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.69
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.13
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.53
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.62
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.09
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.31
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.5
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.5
