file_keys,Erskine-Rock-Fill-1-Repeat
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.15
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.39
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.6
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.76
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.27
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.59
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.29
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.49
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.35
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.53
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.38
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.61
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.17
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.62
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.44
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.45
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.25
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.5
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.56
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.31
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.11
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.75
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.39
