file_keys,Heavy-Metal-OH3-FBar3-Repeat
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.4
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.68
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.86
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.51
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.74
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.78
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.97
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.87
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.69
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.79
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.56
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.86
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.71
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.71
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.83
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.87
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.66
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.77
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.82
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.58
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.79
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.74
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.71
