file_keys,Kitchen-Slink-R-2
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.46
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.9
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.81
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.79
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.77
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.75
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.75
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.76
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.73
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.76
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.61
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.74
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.74
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.57
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.85
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.5
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.12
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.75
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.75
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.5
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.9
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.5
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.76
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.89
