file_keys,Swing-Ride2-a
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.84
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.82
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.88
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.82
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.73
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.63
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,1
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.88
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.54
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.99
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.8
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.84
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.9
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.83
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.9
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,1
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.77
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.8
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.86
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.94
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.91
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.9
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.75
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.93
