file_keys,Rock-H-CR-34
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.62
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.76
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.61
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.38
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.25
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.79
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.49
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.64
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.53
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.62
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.7
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.61
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.36
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.29
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.42
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.75
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.09
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.67
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.5
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.5
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.49
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.25
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.6
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.61
