file_keys,batucada_01
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.12
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.12
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.05
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.29
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.24
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.33
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.17
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.07
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.02
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.31
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.12
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.29
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.21
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.11
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.24
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.24
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.04
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.18
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.26
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.19
