file_keys,TM-Tom1-a_003
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.5
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.71
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.6
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.1
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.46
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.67
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.76
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.48
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.66
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.71
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.82
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.13
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.62
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.23
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.48
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.24
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.56
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.76
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.43
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.56
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.68
