file_keys,Funk-CH-a
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.54
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.6
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.55
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.57
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.75
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.61
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.65
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.64
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.6
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.52
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.72
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.5
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.5
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.72
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.32
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.92
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.71
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.85
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.78
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.59
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.47
