file_keys,Smooth-Jazz-CH-FBar1-Repeat
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.52
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.57
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.27
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.1
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.48
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.47
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.14
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.01
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.31
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.25
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.4
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.09
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.37
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.47
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.19
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.83
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.55
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.38
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.04
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.24
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.26
