file_keys,Blues-CH1-a
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.76
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.87
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.81
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.39
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.76
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.78
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.76
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.76
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.78
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.79
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.94
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,1
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.88
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.91
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.89
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.84
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.5
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.76
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.75
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.91
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.73
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.86
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.72
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.94
