file_keys,N-Country-CH2
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.6
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.74
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.68
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.72
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.63
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.62
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.7
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.31
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.61
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.84
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.6
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.73
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.73
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.75
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.55
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.32
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.74
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.56
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.74
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.53
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.44
