file_keys,OH-SnF-CR-F-2
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.58
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.7
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.74
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.59
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.6
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.76
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.71
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.75
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.44
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.69
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.61
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.76
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.7
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.55
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.66
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.57
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.85
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.85
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.7
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.42
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.51
