file_keys,SF-Pop-Fill-4
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.61
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.77
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.58
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.33
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.35
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.75
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.5
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.57
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.36
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.23
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.65
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.66
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.46
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.49
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.63
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.75
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.06
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.8
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.77
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.47
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.67
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.24
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.69
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.64
