file_keys,Funk-CH1-b
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.78
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,1
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.91
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,1
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.83
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.92
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.88
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.88
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.92
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.97
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.91
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.94
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.96
iR9yF4BBzLLaiiAdKPoomYPRjksctHPE,0.9
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.96
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.95
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.74
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.82
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.87
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.88
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.95
6Zso6loMs9sTSof1Z6Wz50iPGgBGGbXK,0.89
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.92
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.92
