file_keys,Heavy-Metal-OH2-a
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.25
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.29
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.31
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.26
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.72
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.4
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.1
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.27
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.24
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.32
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.67
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.18
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.37
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.44
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.24
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.41
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.49
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.13
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.23
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.24
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.46
