file_keys,Jungle-3
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.84
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.88
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.9
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.84
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.86
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.92
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.75
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.8
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.81
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.88
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.71
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.91
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.99
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.9
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.99
dVsEv2M02jgsTLzhBnivaDpv21zvhkro,0.63
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.84
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.86
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.79
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.82
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.76
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.85
